rating_id,restaurant_id,user_id,user_rating
1,1048yN4bQRt_h3zQ04GDSA,1,4.0
2,UHFjEP5dVn4wqcjt7ByUog,1,5.0
3,Jlt5w5ItA8ugiXif2VVQ5g,1,5.0
4,1048yN4bQRt_h3zQ04GDSA,2,4.0
5,nY7Nsz3qbahVIbdI4QOjFg,2,5.0
7,PkLfjhJ_XExjwARO1RkQIw,3,1.0
8,nY7Nsz3qbahVIbdI4QOjFg,3,3.0
9,CtBx4yk_QM8ClITgw94TPQ,3,4.0
10,UHFjEP5dVn4wqcjt7ByUog,3,1.0
11,Jlt5w5ItA8ugiXif2VVQ5g,3,2.0
12,679OXOvmJ5ZAaj9GdMZlHQ,3,3.0
13,PkLfjhJ_XExjwARO1RkQIw,1,5.0
14,nY7Nsz3qbahVIbdI4QOjFg,1,5.0
15,CtBx4yk_QM8ClITgw94TPQ,1,4.0
16,679OXOvmJ5ZAaj9GdMZlHQ,1,3.0
6,PkLfjhJ_XExjwARO1RkQIw,2,5.0
17,CtBx4yk_QM8ClITgw94TPQ,2,3.0
18,Jlt5w5ItA8ugiXif2VVQ5g,2,4.0
19,UHFjEP5dVn4wqcjt7ByUog,2,5.0
20,679OXOvmJ5ZAaj9GdMZlHQ,2,4.0
